id,label,dataset,token_len,ppl,AE,APE,APL,CUD,SIB,FL,generated_text,answer,REV,label_num
gsm8k_0,reasoning,gsm8k,61,25.513763840000003,3.2,0.64,9.6,,4.8,1.6,"# How do you solve 2x^2+3x-1=0 by completing the square?

May 11, 2017

$x = - \frac{1}{2} \pm \frac...","Mimi has 2 x 12 = <<2*12=24>>24 sea shells.
Kyle has 24 x 2 = <<24*2=48>>48 sea shells.
Leigh has 48 / 3 = <<48/3=16>>16 sea shells.
#### 16",0.0,1
gsm8k_1,reasoning,gsm8k,97,25.513763840000003,3.2,0.64,9.6,,4.8,1.6," Chapter 10: Understanding Our Bodies: The Amazing World of Cells and Genes

Have you ever wondered ...","He has 6 - 2 = <<6-2=4>>4 cats.
He has 4 - 1 = <<4-1=3>>3 parrots.
He has 4 + 6 = <<4+6=10>>10 snakes.
He has a total of 2 + 4 + 3 + 10 = <<2+4+3+10=19>>19 pets.
#### 19",0.0,1
gsm8k_2,reasoning,gsm8k,85,25.513763840000003,3.2,0.64,9.6,,4.8,1.6," more than the uncle. How many toy cars did Olaf's family give him?

Let's break down the problem st...","Dad gave Olaf 10 toy cars,
Mom has given Olaf 5 more toy cars than Dad, so 10 + 5 = <<10+5=15>>15 toy cars
Auntie gave Olaf 6 toy cars,
Uncle has given 1 less toy than Auntie, so 6 - 1 = <<6-1=5>>5 toy cars
Grandpa gave Olaf 2 * 5 = <<2*5=10>>10 toy cars.
All the family together gave Olaf 10 +15 + 6 + 5 + 10 = <<10+15+6+5+10=46>>46.
Adding the cars Olaf already had, Olaf's collection has 150 + 46 = <<150+46=196>>196 cars.
#### 196",0.0,1
gsm8k_3,reasoning,gsm8k,93,25.513763840000003,3.2,0.64,9.6,,4.8,1.6," does she have left?

First, let's think about what we know. Emma has $100 in her account, and she s...","She spend $56 because 7 x 8 = <<7*8=56>>56
She has $44 left in the bank because 100 - 56 = <<100-56=44>>44
She can get 8 five dollar bills because 44 / 5 = <<44/5=8.8>>8.8
This is equal to $40 because 8 x 5 = <<8*5=40>>40
She has $4 left in the account because 44 - 40 = <<44-40=4>>4
#### 4",0.0,1
gsm8k_4,reasoning,gsm8k,92,25.513763840000003,3.2,0.64,9.6,,4.8,1.6," many kilometers did he hike on the third day?

Solution:

Let x be the number of kilometers he hike...","After the first day, Ezekiel had 50 - 10 = <<50-10=40>>40 kilometers of the hike left.
On the second day, he covered 50 / 2 = <<50/2=25>>25 kilometers.
Therefore, on the third day, he had 40 - 25 = <<40-25=15>>15 kilometers left to finish the hike.
#### 15",0.0,1
gsm8k_5,reasoning,gsm8k,89,25.513763840000003,3.2,0.64,9.6,,4.8,1.6," he did on the second day. How many tins did James collect on the third day?

Solution:
Let x be the...","On the second day, he collected 3 times the number of tins he collected on the first day, which is 3*50 = <<3*50=150>>150 tins.
On the third day, he collected 50 tins fewer than the second day, which is 150-50 = <<150-50=100>>100 tins
The total for the three days is 150+100+50 = <<150+100+50=300>>300 tins.
To reach his goal, he still needs 500-300 = <<500-300=200>>200 tins.
Since the total number of days left in the week is 4, he'll need to collect 200/4 = <<200/4=50>>50 tins per day to reach his goal
#### 50",0.0,1
gsm8k_6,reasoning,gsm8k,76,25.513763840000003,3.2,0.64,9.6,,4.8,1.6,"# How do you find the slope and intercept of y=2x-3?

Apr 17, 2018

The slope is $2$ and the interce...","The third dart earned Don 50 / 2 = <<50/2=25>>25 points.
Thus, his total score is 50 + 0 + 25 = <<50+0+25=75>>75 points.
#### 75",0.0,1
gsm8k_7,reasoning,gsm8k,98,25.513763840000003,3.2,0.64,9.6,,4.8,1.6,"1 meter wide. How many rocks are in the river?

### Example Question #1 : How To Find The Surface Ar...","The pebble's total splash width is 1.5 meters because 6 times 1/4 equals <<6*1/4=1.5>>1.5.
The rock's total splash width is 1.5 meters because 3 times 1/2 equals <<3*1/2=1.5>>1.5.
The boulder's total splash width is 4 because 2 times 2 equals four.
The total splash width for all the rocks is 7 because 1.5 plus 1.5 plus 4 equals 7.
#### 7",0.0,1
gsm8k_8,reasoning,gsm8k,93,25.513763840000003,3.2,0.64,9.6,,4.8,1.6," Chapter 10: Understanding Ourselves and Others - Exploring Identity and Expression

Have you ever t...","He has 36 eggs because 3 x 12 = <<3*12=36>>36
He can make 9 omelets because 36 / 4 = <<36/4=9>>9
Each person gets 3 omelets because 9 / 3 = <<9/3=3>>3
#### 3",0.0,1
gsm8k_9,reasoning,gsm8k,98,25.513763840000003,3.2,0.64,9.6,,4.8,1.6," stack was 1 block shorter than the fourth stack, how many blocks were in the fifth stack?

Solution...","The second stack has 7 blocks + 3 blocks = <<7+3=10>>10 blocks.
The third stack has 10 blocks - 6 blocks = <<10-6=4>>4 blocks.
The fourth stack has 4 blocks + 10 blocks = <<4+10=14>>14 blocks.
The fifth stack has 10 blocks x 2 = <<10*2=20>>20 blocks.
In total there are 7 blocks + 10 blocks + 4 blocks + 14 blocks + 20 blocks = <<7+10+4+14+20=55>>55 blocks.
#### 55",0.0,1
gsm8k_10,reasoning,gsm8k,107,25.513763840000003,3.2,0.64,9.6,,4.8,1.6,The first step in the process of writing a research paper is to choose a topic. The topic should be ...,"Gordon’s bags weigh 3 + 7 = <<3+7=10>>10 pounds.
Trace’s five bags all weigh the same amount, so each bag weighs 10 / 5 = <<10/5=2>>2 pounds.
#### 2",0.0,1
