id,question,answer,prompt,label
wiki_0,Emil Gus Fring Friedrich Martin Niemöller (14 January 1892 – 6 March 1984) was a German pastor who opposed the Nazis.,,Emil Gus Fring Friedrich Martin Niemöller (14 January 1892 – 6 March 1984) was a German pastor who opposed the Nazis.,control
wiki_1,"The 2008 United States presidential election in Illinois  was held on November 4, 2008.",,"The 2008 United States presidential election in Illinois  was held on November 4, 2008.",control
wiki_2,"Kristopher Royce Versteeg (born May 13, 1986) is a former Canadian professional ice hockey right winger.",,"Kristopher Royce Versteeg (born May 13, 1986) is a former Canadian professional ice hockey right winger.",control
wiki_3,Russian Ballerina () is a 1947 Soviet musical movie directed by Aleksandr Ivanovsky.,,Russian Ballerina () is a 1947 Soviet musical movie directed by Aleksandr Ivanovsky.,control
wiki_4,"The A-Ma Temple is a temple to the sea-goddess Mazu in São Lourenço, Macau, China.",,"The A-Ma Temple is a temple to the sea-goddess Mazu in São Lourenço, Macau, China.",control
wiki_5,"Hajjiabad (, also Romanized as Ḩājjīābād and Hājīābād) is a city and capital of Zarrin Dasht County, Fars Province, Iran.

References 

Cities in Fars Province.",,"Hajjiabad (, also Romanized as Ḩājjīābād and Hājīābād) is a city and capital of Zarrin Dasht County, Fars Province, Iran.

References 

Cities in Fars Province.",control
wiki_6,"Pflugerville () is a city in Travis County, Texas, United States.",,"Pflugerville () is a city in Travis County, Texas, United States.",control
wiki_7,"The bow is the forward part of the  hull of a ship or boat, the point that is most forward when the vessel is underway.",,"The bow is the forward part of the  hull of a ship or boat, the point that is most forward when the vessel is underway.",control
wiki_8,"The 1920-21 Austrian Cup was the national cup in Austrian football.

Third round
First round with teams from the Second League.",,"The 1920-21 Austrian Cup was the national cup in Austrian football.

Third round
First round with teams from the Second League.",control
wiki_9,Forgiveness is the choice that a person makes to forgive another person for an offense or something that is illegal or immoral.,,Forgiveness is the choice that a person makes to forgive another person for an offense or something that is illegal or immoral.,control
wiki_10,A bone tumor is any tumor in bones.,,A bone tumor is any tumor in bones.,control
wiki_11,"Hersal Thomas (September 9, 1906 – June 2, 1926) was an American blues pianist and composer.",,"Hersal Thomas (September 9, 1906 – June 2, 1926) was an American blues pianist and composer.",control
wiki_12,"James Andrew Broun-Ramsay, 1st Marquess of Dalhousie KT, PC (22 April 1812 – 19 December 1860), known as The Earl of Dalhousie between 1838 and 1849, was a Scottish statesman and a colonial administrator in British India.",,"James Andrew Broun-Ramsay, 1st Marquess of Dalhousie KT, PC (22 April 1812 – 19 December 1860), known as The Earl of Dalhousie between 1838 and 1849, was a Scottish statesman and a colonial administrator in British India.",control
wiki_13,"Chechnya (; ), officially the Chechen Republic (; ), is a federal subject in Russia.",,"Chechnya (; ), officially the Chechen Republic (; ), is a federal subject in Russia.",control
wiki_14,"The Sydney Swans are a professional Australian rules football club from Sydney, New South Wales, that plays in the Australian Football League (AFL).

Club song
Cheer, cheer the red and the white,
Honour the name by day and by night,
Lift that noble banner high,
Shake down the thunder from the sky
Whether the odds be great or small,
Swans will go in and win overall
While her loyal sons are marching
Onwards to victory.

Related pages
 Australian rules football in New South Wales

Other websites
 Official website

Australian rules football clubs.",,"The Sydney Swans are a professional Australian rules football club from Sydney, New South Wales, that plays in the Australian Football League (AFL).

Club song
Cheer, cheer the red and the white,
Honour the name by day and by night,
Lift that noble banner high,
Shake down the thunder from the sky
Whether the odds be great or small,
Swans will go in and win overall
While her loyal sons are marching
Onwards to victory.

Related pages
 Australian rules football in New South Wales

Other websites
 Official website

Australian rules football clubs.",control
wiki_15,Safety Last! is a 1923 silent movie.,,Safety Last! is a 1923 silent movie.,control
wiki_16,Anne Grommerch (11 December 1970 – 15 April 2016) was a French politician.,,Anne Grommerch (11 December 1970 – 15 April 2016) was a French politician.,control
wiki_17,Akihiro Kurihara (born 2 May 1985) is a Japanese football player.,,Akihiro Kurihara (born 2 May 1985) is a Japanese football player.,control
wiki_18,Mail art (also known as postal art and correspondence art) is a popular form of art.,,Mail art (also known as postal art and correspondence art) is a popular form of art.,control
wiki_19,"""Thank You"" is the first single off American rock band Sevendust's eleventh studio album Kill the Flaw.",,"""Thank You"" is the first single off American rock band Sevendust's eleventh studio album Kill the Flaw.",control
wiki_20,"Antonio Hardy (better known as Big Daddy Kane; born September 10, 1968) is an American rapper.",,"Antonio Hardy (better known as Big Daddy Kane; born September 10, 1968) is an American rapper.",control
wiki_21,"Ministry of Health (Turkish: Sağlık Bakanlığı) is a government ministry office of the Republic of Turkey, responsible for health affairs in Turkey.

The current minister is Fahrettin Koca, serving since 10 July 2018.

20th-century establishments in Turkey
1920 establishments

Government of Turkey.",,"Ministry of Health (Turkish: Sağlık Bakanlığı) is a government ministry office of the Republic of Turkey, responsible for health affairs in Turkey.

The current minister is Fahrettin Koca, serving since 10 July 2018.

20th-century establishments in Turkey
1920 establishments

Government of Turkey.",control
wiki_22,"Blood In Blood Out (also known as Bound by Honor and Blood In Blood Out: Bound By Honor) is a 1993 American Mexican epic crime drama movie directed by Taylor Hackford and starring Damian Chapa, Jesse Borrego, Billy Bob Thornton, Benjamin Bratt, Delroy Lindo, Danny Trejo, Ving Rhames, Lanny Flaherty, Raymond Cruz.",,"Blood In Blood Out (also known as Bound by Honor and Blood In Blood Out: Bound By Honor) is a 1993 American Mexican epic crime drama movie directed by Taylor Hackford and starring Damian Chapa, Jesse Borrego, Billy Bob Thornton, Benjamin Bratt, Delroy Lindo, Danny Trejo, Ving Rhames, Lanny Flaherty, Raymond Cruz.",control
wiki_23,Ton Frinking (1 February 1931 – 3 August 2022) was a Dutch politician.,,Ton Frinking (1 February 1931 – 3 August 2022) was a Dutch politician.,control
wiki_24,"Wayne Simmonds (born August 26, 1988 in Scarborough, Ontario) is an Canadian professional ice hockey right winger.",,"Wayne Simmonds (born August 26, 1988 in Scarborough, Ontario) is an Canadian professional ice hockey right winger.",control
wiki_25,"‏ Jahanna is a residential city in the province of Sohag, located in the Arab Republic of Egypt, with a population cave of 209,260.

References

Cities in Egypt‎.",,"‏ Jahanna is a residential city in the province of Sohag, located in the Arab Republic of Egypt, with a population cave of 209,260.

References

Cities in Egypt‎.",control
wiki_26,"Selzach is a municipality in the district Lebern in the canton of Solothurn in Switzerland.

References

Other websites 

 Official website 

Municipalities in Lebern District.",,"Selzach is a municipality in the district Lebern in the canton of Solothurn in Switzerland.

References

Other websites 

 Official website 

Municipalities in Lebern District.",control
wiki_27,"Carnarvon is a coastal town about 900 kilometres north of Perth, Western Australia.",,"Carnarvon is a coastal town about 900 kilometres north of Perth, Western Australia.",control
wiki_28,"Cobalt(II) oxide, also known as cobaltous oxide, is a chemical compound.",,"Cobalt(II) oxide, also known as cobaltous oxide, is a chemical compound.",control
wiki_29,"Articles with hCards
Bibhuti Roy is a professor.",,"Articles with hCards
Bibhuti Roy is a professor.",control
wiki_30,The West Semitic languages are a large branch of Semitic languages.,,The West Semitic languages are a large branch of Semitic languages.,control
wiki_31,Belmont Cragin is one of 77 officially designated Chicago community areas located on the Northwest Side of the City of Chicago.,,Belmont Cragin is one of 77 officially designated Chicago community areas located on the Northwest Side of the City of Chicago.,control
wiki_32,"Moratalla is a municipality of 7,839 people (2019).",,"Moratalla is a municipality of 7,839 people (2019).",control
wiki_33,"The honeyberry (Lonicera caerulea) (also known as a blue honeysuckle, sweetberry honeysuckle, fly honeysuckle, blue fly honeysuckle, blue-berried honeysuckle or haskap) is a fruit that is edible.",,"The honeyberry (Lonicera caerulea) (also known as a blue honeysuckle, sweetberry honeysuckle, fly honeysuckle, blue fly honeysuckle, blue-berried honeysuckle or haskap) is a fruit that is edible.",control
wiki_34,"Cattistock is a village in west Dorset, England, in the upper reaches of the Frome Valley eight miles north west of Dorchester.",,"Cattistock is a village in west Dorset, England, in the upper reaches of the Frome Valley eight miles north west of Dorchester.",control
wiki_35,"The United Nations Educational, Scientific and Cultural Organization (UNESCO) World Heritage Sites are places of importance to cultural or natural heritage.",,"The United Nations Educational, Scientific and Cultural Organization (UNESCO) World Heritage Sites are places of importance to cultural or natural heritage.",control
wiki_36,"The ""Parson's Cause"" was a legal and political dispute in the Colony of Virginia.",,"The ""Parson's Cause"" was a legal and political dispute in the Colony of Virginia.",control
wiki_37,"Barclay is a town in Queen Anne's County, Maryland, United States.

Towns in Maryland.",,"Barclay is a town in Queen Anne's County, Maryland, United States.

Towns in Maryland.",control
wiki_38,Shinto () is a form of Japanese animism.,,Shinto () is a form of Japanese animism.,control
wiki_39,"

Events 
 Saladin bans the Fatimid Caliphate, bringing back Sunni rule in Egypt.
 Manuel I Comnenus orders all the Venetians in the Byzantine Empire to be arrested.
 Rhys ap Gruffydd agrees to talk to Henry II of England.
 Building of the Cathedral of Saint Sabino in Bari is finished.
 Serbian ruler Stefan Nemanja begins to rule alone.
 Alfonso II of Aragon beats Caspe and Teruel.
 Henry II of England starts eight centuries of conflict and war between Ireland and England.
 Pisa and Florence make an alliance against Lucca and Genoa.
 The Heirs of Robert Burdet leave Catalonia.

Births 
 August 15 — King Alfonso IX of León (d.",,"

Events 
 Saladin bans the Fatimid Caliphate, bringing back Sunni rule in Egypt.
 Manuel I Comnenus orders all the Venetians in the Byzantine Empire to be arrested.
 Rhys ap Gruffydd agrees to talk to Henry II of England.
 Building of the Cathedral of Saint Sabino in Bari is finished.
 Serbian ruler Stefan Nemanja begins to rule alone.
 Alfonso II of Aragon beats Caspe and Teruel.
 Henry II of England starts eight centuries of conflict and war between Ireland and England.
 Pisa and Florence make an alliance against Lucca and Genoa.
 The Heirs of Robert Burdet leave Catalonia.

Births 
 August 15 — King Alfonso IX of León (d.",control
wiki_40,Heiligenberg is a commune.,,Heiligenberg is a commune.,control
wiki_41,The Comprehensive Anti-Apartheid Act of 1986 was a law created by the United States Congress.,,The Comprehensive Anti-Apartheid Act of 1986 was a law created by the United States Congress.,control
wiki_42,The Elephant Man is a 1980 British American biographical drama movie directed by David Lynch.,,The Elephant Man is a 1980 British American biographical drama movie directed by David Lynch.,control
wiki_43,"Cambourne is a village in Cambridgeshire, England.",,"Cambourne is a village in Cambridgeshire, England.",control
wiki_44,Tavaux-et-Pontséricourt is a commune.,,Tavaux-et-Pontséricourt is a commune.,control
wiki_45,Burnaby is a city in the Canadian province of British Columbia.,,Burnaby is a city in the Canadian province of British Columbia.,control
wiki_46,"Current could mean:

Electric current
Current (fluid)
Ocean current
Air current
Current (mathematics)
Present (time), e.g.",,"Current could mean:

Electric current
Current (fluid)
Ocean current
Air current
Current (mathematics)
Present (time), e.g.",control
wiki_47,"Niedermuhlern is a municipality of the administrative district of Bern-Mittelland in the canton of Bern in Switzerland.

References 

Municipalities in Bern-Mittelland.",,"Niedermuhlern is a municipality of the administrative district of Bern-Mittelland in the canton of Bern in Switzerland.

References 

Municipalities in Bern-Mittelland.",control
wiki_48,"Jan-Ove Waldner (born October 3, 1965 in Stockholm) is a male table tennis player from Sweden.",,"Jan-Ove Waldner (born October 3, 1965 in Stockholm) is a male table tennis player from Sweden.",control
wiki_49,Marianne North (24 October 1830 – 30 August 1890) was a biologist from Victorian England.,,Marianne North (24 October 1830 – 30 August 1890) was a biologist from Victorian England.,control
