id,question,answer,prompt,label
strategyqa_0,Are there multiple American government holidays during winter?,True,Answer: Are there multiple American government holidays during winter? Show reasoning.,reasoning
strategyqa_1,Were paparazzi directly responsible for the death of Amy Winehouse?,False,Answer: Were paparazzi directly responsible for the death of Amy Winehouse? Show reasoning.,reasoning
strategyqa_2,Are flag of Gabon colors found in rainbow?,True,Answer: Are flag of Gabon colors found in rainbow? Show reasoning.,reasoning
strategyqa_3,Could Brooke Shields succeed at University of Pennsylvania?,True,Answer: Could Brooke Shields succeed at University of Pennsylvania? Show reasoning.,reasoning
strategyqa_4,Can you see live harbor seals in Washington DC?,True,Answer: Can you see live harbor seals in Washington DC? Show reasoning.,reasoning
strategyqa_5,Can a sesame seed grow in the human body?,False,Answer: Can a sesame seed grow in the human body? Show reasoning.,reasoning
strategyqa_6,Is the tree species that the name Leipzig refers to an evergeen tree?,False,Answer: Is the tree species that the name Leipzig refers to an evergeen tree? Show reasoning.,reasoning
strategyqa_7,Do some people soak in olive oil and water?,True,Answer: Do some people soak in olive oil and water? Show reasoning.,reasoning
strategyqa_8,Is Capricorn the hypothetical zodiac sign of Satanism?,True,Answer: Is Capricorn the hypothetical zodiac sign of Satanism? Show reasoning.,reasoning
strategyqa_9,Do all parts of the aloe vera plant taste good?,False,Answer: Do all parts of the aloe vera plant taste good? Show reasoning.,reasoning
strategyqa_10,Are the Great Lakes part of an international border?,True,Answer: Are the Great Lakes part of an international border? Show reasoning.,reasoning
strategyqa_11,Were there fifty English kings throughout the Middle Ages?,False,Answer: Were there fifty English kings throughout the Middle Ages? Show reasoning.,reasoning
strategyqa_12,Would Rime of the Ancient Mariner make a good sonnet?,False,Answer: Would Rime of the Ancient Mariner make a good sonnet? Show reasoning.,reasoning
strategyqa_13,Could a monarch butterfly rule a kingdom?,False,Answer: Could a monarch butterfly rule a kingdom? Show reasoning.,reasoning
strategyqa_14,Would the 10th doctor enjoy a dish of stuffed pears?,False,Answer: Would the 10th doctor enjoy a dish of stuffed pears? Show reasoning.,reasoning
strategyqa_15,Do the Ubuntu people speak Ubuntu?,False,Answer: Do the Ubuntu people speak Ubuntu? Show reasoning.,reasoning
strategyqa_16,Did any of the amazons on Xena: Warrior Princess star on later shows?,True,Answer: Did any of the amazons on Xena: Warrior Princess star on later shows? Show reasoning.,reasoning
strategyqa_17,Can you find Bob Marley's face in most smoke shops?,True,Answer: Can you find Bob Marley's face in most smoke shops? Show reasoning.,reasoning
strategyqa_18,Is Alan Alda old enough to have fought in the Vietnam War?,True,Answer: Is Alan Alda old enough to have fought in the Vietnam War? Show reasoning.,reasoning
strategyqa_19,Did Bill Nye vote for Franklin Delano Roosevelt?,False,Answer: Did Bill Nye vote for Franklin Delano Roosevelt? Show reasoning.,reasoning
strategyqa_20,Is nickel a better payout than mercury if given a dollar per atomic number?,False,Answer: Is nickel a better payout than mercury if given a dollar per atomic number? Show reasoning.,reasoning
strategyqa_21,Is it impossible for Cheb Mami to win a Pulitzer Prize for musical composition?,True,Answer: Is it impossible for Cheb Mami to win a Pulitzer Prize for musical composition? Show reasoning.,reasoning
strategyqa_22,Would a greyhound be able to outrun a greyhound bus?,False,Answer: Would a greyhound be able to outrun a greyhound bus? Show reasoning.,reasoning
strategyqa_23,"Does Orange County, California require airplanes to be quiet?",True,"Answer: Does Orange County, California require airplanes to be quiet? Show reasoning.",reasoning
